landuse,Fe,Mn,Cu,Zn,Ca,K,P
C,6.50,231.58,17.19,69.40,361.07,5643.62,0.01
C,6.91,1519.40,18.32,83.83,137.70,4539.45,0.03
C,6.82,1926.08,15.79,82.46,151.97,5643.62,0.03
C,6.08,1807.47,18.89,80.49,65.28,3312.59,0.04
C,5.76,1914.78,17.48,86.41,123.42,4048.70,0.03
C,6.15,1564.59,22.83,85.35,123.42,5520.93,0.03
C,5.43,1429.03,14.66,64.54,187.67,2821.85,0.03
C,6.00,1011.05,18.60,78.06,187.67,1349.62,0.03
C,6.23,1830.06,20.30,86.87,148.91,2085.73,0.02
E,8.60,812.00,23.80,87.60,79.00,3796.00,0.01
E,5.60,672.15,20.30,78.67,65.28,3680.65,0.01
E,7.09,559.18,22.55,96.74,53.04,1594.99,0.01
E,5.91,1005.40,21.14,84.89,115.26,3251.25,0.01
E,5.65,689.10,22.55,79.73,111.18,4048.70,0.01
E,6.37,1084.48,25.37,96.44,52.02,1840.36,0.02
E,7.45,321.95,26.50,82.01,76.50,2576.48,0.01
E,6.89,1666.26,22.83,88.69,91.80,3803.33,0.02
E,7.28,497.05,24.52,79.43,40.80,4048.70,0.00
L,4.82,1807.47,13.92,69.49,111.18,4662.13,0.05
L,6.73,1372.54,25.37,86.11,97.92,10305.67,0.09
L,6.21,1457.27,24.24,73.20,131.57,8588.07,0.07
L,5.89,1423.38,16.35,63.63,72.18,6747.79,0.05
L,6.02,1316.06,22.27,76.09,151.05,8097.33,0.04
L,6.87,1705.80,23.96,96.28,333.11,9814.93,0.05
L,7.46,1858.30,24.24,106.00,237.65,10182.98,0.06
L,5.84,1796.17,12.97,58.16,123.42,3557.96,0.05
L,6.00,2112.48,17.76,85.20,120.36,6625.10,0.03
L,8.11,1756.63,19.17,95.83,117.30,6993.16,0.06
L,7.00,2598.23,18.32,96.89,110.16,5030.19,0.06
L,4.53,1564.59,18.60,87.32,261.06,8710.75,0.07
L,7.09,1897.84,17.19,90.66,119.34,3680.65,0.04
L,8.55,2202.85,26.21,110.86,202.97,5888.99,0.07
L,7.14,2276.00,22.10,98.90,167.00,4097.00,0.07
L,7.32,1863.95,22.55,93.40,354.95,4784.82,0.08
L,6.84,2084.23,19.73,88.69,105.06,5030.19,0.04
L,8.35,2795.92,20.01,122.71,163.19,8465.38,0.05
L,5.60,1762.28,14.66,79.88,105.06,4784.82,0.06
L,6.15,1429.03,21.42,86.26,98.94,5398.24,0.06
Target 1,5.72,"1,599.63",48.68,100.29,298.40,"13,313.06",0.08
Target 2,6.84,989.33,36.85,103.64,208.22,"12,603.65",0.07
Target 3,7.10,"1,056.40",37.54,103.64,203.45,"10,475.41",0.07
Target 4,5.56,"1,041.89",34.06,110.70,205.83,"11,894.23",0.07
Target 5,6.29,914.65,43.11,120.74,194.77,"11,894.23",0.08
Target 6,5.91,900.89,37.54,97.69,261.02,"9,766.00",0.06
Target 7,8.89,"1,378.26",17.35,94.71,273.02,"7,637.77",0.04
Target 8,5.61,869.06,33.36,106.61,275.62,"9,766.00",0.07
Target 9,5.33,"1,003.56",29.88,98.80,252.55,"9,766.00",0.06
Target 10,6.30,947.00,18.60,92.90,396.00,"8,465.00",0.04
Target 11,5.47,860.04,22.22,95.83,242.49,"6,928.36",0.05
Target 12,5.61,951.73,27.79,108.10,269.58,"9,056.59",0.06
Target 13,5.96,"1,416.05",31.97,104.38,399.01,"10,475.41",0.06
Target 14,5.96,923.87,29.88,89.88,338.23,"11,894.23",0.07
Target 15,5.96,"1,372.89",38.24,100.29,332.70,"11,894.23",0.07
Target 16,5.47,"1,070.98",23.61,91.37,370.10,"9,766.00",0.07
Target 17,6.38,"1,115.18",38.93,104.38,403.90,"9,766.00",0.08
Target 18,5.93,"1,195.40",22.92,101.03,298.40,"9,056.59",0.07
Target 19,4.43,784.70,20.13,81.70,360.63,"9,056.59",0.07
Target 20,5.70,933.12,20.13,92.85,363.46,"7,637.77",0.05
Target 21,5.54,937.76,26.40,90.62,163.29,"11,184.82",0.10
Target 22,8.79,"1,241.46",12.47,92.85,183.09,"4,090.72",0.04
Target 23,7.13,"2,101.12",52.17,109.96,186.19,"4,800.13",0.09
Target 24,6.04,"1,251.47",38.24,98.80,155.43,"5,509.54",0.08
